category,item,planned_checks,status,attempted,successful,operation_ids,blocker
noun,humidity,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,precipitation,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,radiation,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,temperature,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,vpd,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,wind,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,surface_reflectance,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,vegetation_index,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,elevation,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,roads,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun,streamflow,create; dimensions; coordinates; units; attributes; source identity; provenance; plot; transform,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,humidity/gridmet,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,precipitation/gridmet,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,precipitation/prism,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,radiation/gridmet,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,temperature/gridmet,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,temperature/prism,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,vpd/gridmet,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,wind/gridmet,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,surface_reflectance/sentinel2,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,vegetation_index/sentinel2,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,elevation/usgs_3dep,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,roads/overture,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,roads/osm,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
noun_source,streamflow/usgs,small valid retrieval; source identity; available-source comparison,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
source_candidate,daymet,,excluded_candidate,False,False,,Explicitly not promoted in public source index
verb,align_cube,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,anomaly,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,aoi_signature,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,apply,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,binary_state,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,block_signature,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,change_state,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
verb,climate_hist,valid call; edge; plausible misuse; composition; dimensions; coordinates; metadata; provenance,blocked_not_attempted,False,False,,INSTALL-001: no external CubeDynamics artifact; no package operation executed
